業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,手打そば　マルシン,テウチソバ　マルシン,9900063,山形市山家町1-6-48,,2021/9/1,山形市,38.26550719,140.3597986
〇,,手打ちそば　港屋,テウチソバ　ミナトヤ,9900064,山形市和合町2-1-30,,2021/8/24,山形市,38.2614595,140.3571779
〇,,手打ちそば処「わらび野」,テウチソバドコロワラビノ,9902384,山形市大字上反田695-2,,2021/5/31,山形市,38.271966,140.2371403
〇,,手打そば竜山,テウチソバリュウザン,9902404,山形市八森96,,2021/10/21,山形市,38.21134968,140.3748608
〇,,鉄板居酒屋　夢はな,テッパンイザカヤ　ユメハナ,9900042,山形市七日町2-1-14,,2021/6/28,山形市,38.2522544,140.3394987
〇,,てっぱん屋台　鈴木製作所,テッパンヤタイ　スズキセイサクジョ,9900042,山形市七日町2-1-14-6-6,山形屋台村ほっとなる横丁,2021/7/1,山形市,38.2522536,140.3394858
〇,,DEPO-ZITTO&cafe de depo,デポージットアンドカフェドデポ,9900039,山形市香澄町1-9-1,珍味ビル3F,2021/9/7,山形市,38.24884317,140.3295208
〇,,伝承そば処　みちのく亭,デンショウソバドコロ　ミチノクテイ,9900039,山形市香澄町3-2-1,山交ビルB1F,2021/7/26,山形市,38.24624561,140.3319471
〇,,伝説のすた丼屋 山形飯田バイパス店,デンセツノスタドンヤ　ヤマガタイイダバイパステン,9902332,山形市飯田1-1-12,,2021/9/29,山形市,38.21701547,140.3259952
〇,,伝説のすた丼屋 山形西バイパス店,デンセツノスタドンヤ　ヤマガタニシバイパステン,9902481,山形市あかねヶ丘1-3-15,,2021/9/29,山形市,38.25048114,140.3095676
〇,,天ぷら　あざらけ,テンプラ　アザラケ,9900827,山形市城南町2-11-3,オフィス福原Ⅲ 1Ｆ,2021/7/1,山形市,38.25114536,140.3243826
〇,,天ぷら　天海,テンプラ　アマミ,9900032,山形市小姓町8-4,,2021/7/15,山形市,38.2477584,140.339973
〇,,天ぷら　山寺　ホテルアーバングレイスグラン1Ｆ,テンプラ　ヤマデラ　ホテルアーバングレイスグラン1F,9900039,山形市香澄町1-18-12,,2021/8/16,山形市,38.25089099,140.3296863
〇,,てんぷら㐂八,テンプラキハチ,9900042,山形市七日町4-10-21,,2021/6/23,山形市,38.2539939,140.343414
〇,,トゥールモンド　焙煎工房花樹有,トゥールモンド　バイセンコウボウカジュアル,9902483,山形市上町5-2-1,,2021/8/20,山形市,38.2425753,140.3144554
〇,,峠の茶屋,トウゲノチャヤ,9900015,山形市新山516-1,,2021/10/28,山形市,38.22646075,140.4267113
〇,,道とん堀　山形嶋店,ドウトンボリ　ヤマガタシマテン,9900886,山形市嶋南3-15-27,,2021/6/25,山形市,38.2832677,140.3174817
〇,,東北中央病院内食堂「和」,トウホクチュウオウビョウインナイショクドウ　ナゴミ,9900064,山形市和合3-2-5,,2021/11/16,山形市,38.2600318,140.3617342
〇,,独選炭火焼肉ひとりじめ,ドクセンスミビヤキニクヒトリジメ,9902445,山形市南栄町1-1-45,,2021/10/4,山形市,38.234398,140.3222358
〇,,TRAUM（トラウム）,トラウム,9900039,山形市香澄町1-13-17　2Ｆ,,2021/7/7,山形市,38.2492798,140.3302738
〇,,トラットリア　ピッツェリア　ボーノ,トラットリア　ピッツェリア　ボーノ,9900025,山形市あこや町2-2-32,,2021/6/30,山形市,38.24152815,140.3515465
〇,,鳥縁,トリエン,9902431,山形市松見町20-10,,2021/10/11,山形市,38.23275158,140.340033
〇,,鳥和,トリカズ,9900881,山形市瀬波3-7-42,,2021/8/17,山形市,38.28325977,140.3083282
〇,,鳥清やまがた,トリセイヤマガタ,9900051,山形市銅町2-2-22,,2021/9/22,山形市,38.2689824,140.3422663
〇,,鳥せん,トリセン,9900039,山形市香澄町2-8-29,,2021/7/8,山形市,38.2483018,140.3329157
〇,,鳥春,トリハル,9900031,山形市十日町2-3-44,,2021/10/1,山形市,38.2470327,140.3374337
〇,,鶏やあさぎ,トリヤアサギ,9900039,山形市香澄町1-21-28,,2021/6/11,山形市,38.249647,140.3311135
〇,,トレンタ　山形北店,トレンタ　ヤマガタキタテン,9900885,山形市嶋北2-5-17,フレスポ山形北,2021/8/11,山形市,38.2875871,140.3193429
〇,,トレンタ　山形南店,トレンタ　ヤマガタミナミテン,9902435,山形市青田4-1-38,,2021/8/4,山形市,38.2238091,140.3264389
〇,,とんかつ浅野,トンカツアサノ,9900085,山形市嶋北2-21-11,,2021/8/5,山形市,38.28981417,140.3200739
〇,,とんかつかつMI　山形南館店,トンカツカツミ　ヤマガタミナミダテテン,9902461,山形市南館5-7-33,,2021/6/11,山形市,38.23583315,140.3063519
〇,,とんかつ竹亭　山形店,トンカツタケテイ　ヤマガタテン,9902323,山形市桜田東4-7-25,,2021/11/25,山形市,38.2184847,140.3255006
〇,,どんＱ製麺,ドンキュウセイメン,9900828,山形市双葉町1-3-47,,2021/10/4,山形市,38.24967817,140.3241128
〇,,呑どん,ドンドン,9900039,山形市香澄町1-7-5,,2021/11/12,山形市,38.2485932,140.3296035
〇,,どんどん焼き　喰い処　けやき,ドンドンヤキ　クイドコロ　ケヤキ,9902444,山形市南四番町12-9,,2021/9/2,山形市,38.2332563,140.3259107
〇,,とん八 本店,トンパチ　ホンテン,9902461,山形市南館2-1-2,,2021/9/30,山形市,38.2400594,140.3146624
〇,,とん八 山形北インター店,トンパチ　ヤマガタキタインターテン,9900071,山形市流通センター4-7-2,,2021/9/30,山形市,38.2959928,140.3601125
〇,,とん八　山形嶋店,トンパチ　ヤマガタシマテン,9900885,山形市嶋北2-15-3,,2021/7/15,山形市,38.2880499,140.3189719
〇,,とん八　山形成沢店,トンパチ　ヤマガタナリサワテン,9902339,山形市成沢西4-11-40,,2021/7/15,山形市,38.20486138,140.3153368
〇,,ナイス　バーディ,ナイス　バーディ,9902481,山形市あかねヶ丘2-3-7,,2021/6/22,山形市,38.244914,140.312046
〇,,ナイトインパブ　セトナ,ナイトインパブ　セトナ,9900042,山形市七日町4-10-5,,2021/5/18,山形市,38.25415,140.3433209
〇,,和,ナギ,9900038,山形市幸町5-20,,2021/6/4,山形市,38.24678169,140.3278959
〇,,なごみ処　一縁,ナゴミドコロ　イチエン,9900039,山形市香澄町2-11-2,,2021/6/9,山形市,38.2498415,140.3315848
〇,,和ゆう膳,ナゴミユウゼン,9900039,山形市香澄町2-6-16,,2021/8/16,山形市,38.248477,140.3313216
〇,,ナチュラルグラッチェ　be食,ナチュラルグラッチェ　ビショク,9902313,山形市松原378-14,,2021/6/25,山形市,38.20561877,140.3043566
