業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,おやど森の音,オヤドモリノネ,9993145,上山市河崎字反田848,,2021/6/16,上山市,38.1507795,140.2631159
,〇,御宿やなだ屋,オヤドヤナダヤ,9994333,尾花沢市大字銀山新畑416,,2021/9/24,尾花沢市,38.56971298,140.531413
,〇,おらが海の家,オラガウミノイエ,9980281,酒田市飛島勝浦乙157,,2021/10/15,酒田市,39.18836087,139.5479986
,〇,温泉民宿　石川,オンセンミンシュク　イシカワ,9997464,鶴岡市由良2-20-18,,2021/6/24,鶴岡市,38.7219685,139.686366
,〇,温泉民宿　真砂子屋,オンセンミンシュク　マサゴヤ,9971201,鶴岡市湯野浜1-19-16,,2021/6/24,鶴岡市,38.78459677,139.7571377
,〇,梅花皮荘,カイラギソウ,9991522,小国町大字小玉川564-1,,2021/8/6,小国町,37.9551472,139.6684374
〇,〇,CASA DE YOSHI,カサデヨシ,9900031,山形市十日町2-3-3,,2021/10/26,山形市,38.24718686,140.3378814
,〇,果実の山　あづま屋,カジツノヤマ　アヅマヤ,9993141,上山市新湯1-23,,2021/6/16,上山市,38.15703616,140.2729286
,〇,果実の山　あづま屋　別館ふじや旅館,カジツノヤマ　アヅマユ　ベッカンフジヤリョカン,9993145,上山市河崎3-8-34,,2021/6/16,上山市,38.1590745,140.2485722
,〇,月山志津温泉　清水屋旅館,ガッサンシヅオンセン　シミズヤリョカン,9900734,西川町志津20,,2021/7/26,西川町,38.49165082,140.0001783
,〇,月山荘,ガッサンソウ,9970032,鶴岡市上畑町10-77,,2021/9/10,鶴岡市,38.73296525,139.8295635
,〇,月山夏スキーと登山の宿ロッヂやつなみ,ガッサンナツスキートトザンノヤドロッヂヤツナミ,9900733,西川町月山沢月山国有林115-2,,2021/6/8,西川町,38.51849297,140.0068684
,〇,月山の宿かしわや,ガッサンノヤドカシワヤ,9900734,西川町志津4,,2021/7/6,西川町,38.49083845,140.00014
,〇,月山ポレポレファーム,ガッサンポレポレファーム,9900733,西川町月山沢347,,2021/7/12,西川町,38.4693592,140.0006387
,〇,月山リゾートイン,ガッサンリゾートイン,9900704,西川町志津姥沢,,2021/7/16,西川町,38.51929552,140.0060209
,〇,割烹　三桝屋,カッポウ　ミマスヤ,9990121,川西町大字上小松1068-10,,2021/9/15,川西町,38.00526201,140.0507092
〇,〇,割烹旅館　さが江屋,カッポウリョカン　サガエヤ,9920351,高畠町大字高畠931,,2021/6/3,高畠町,38.00421013,140.1972575
,〇,割烹旅館　福よし,カッポウリョカン　フクヨシ,9910031,寒河江市本町1-5-13,,2021/10/26,寒河江市,38.37382112,140.2756937
,〇,割烹旅館　吉本,カッポウリョカン　ヨシモト,9910031,寒河江市本町2-1-23,,2021/6/17,寒河江市,38.37482075,140.2770248
