業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,マルシン食堂,マルシンショクドウ,9993776,東根市大字羽入2799,,2021/10/20,東根市,38.41060359,140.3551081
〇,,まる膳,マルゼン,9980044,酒田市中町2-3-23,,2021/8/30,酒田市,38.91744061,139.8348028
〇,,meatdish はずき,ミートディッシュ　ハズキ,9996711,酒田市飛鳥字堂之後90-8,,2021/9/28,酒田市,38.8868081,139.9298621
〇,,三日月軒　中町店,ミカヅキケン　ナカマチテン,9980044,酒田市中町2-4-7,,2021/12/9,酒田市,38.91660791,139.8369753
〇,,味肴　すずしろ,ミコウ　スズシロ,9940013,天童市老野森1-16-13,,2021/11/30,天童市,38.36244,140.3806761
〇,,水茶屋ごすけ,ミズチャヤゴスケ,9996731,酒田市田沢字寺の下37,,2021/9/3,酒田市,38.8862137,139.9845376
〇,,水辺のカフェ　アフタヌーン　ティー,ミズベノカフェ　アフタヌーン　ティー,9980112,酒田市浜中字八間山167-22,,2021/5/18,酒田市,38.84533831,139.7901985
〇,,みそのそばや,ミソノソバヤ,9993144,上山市石崎1-4-19,,2021/8/6,上山市,38.15201776,140.2714935
〇,,みちくさ,ミチクサ,9960026,新庄市大町2-15,はやみ企画,2021/10/29,新庄市,38.76297597,140.2982171
〇,,道の駅　あさひまち　内　ふくろう村,ミチノエキ　アサヒマチ　ナイ　フクロウムラ,9901411,朝日町和合2724,,2021/9/14,朝日町,38.32754921,140.1691102
〇,,道の駅白鷹ヤナ公園　あゆ茶屋,ミチノエキシラタカヤナコウエン　アユチャヤ,9920862,白鷹町下山661-1,,2021/9/17,白鷹町,38.21907493,140.097991
〇,,道の駅白い森おぐに　ぶな茶屋,ミチノエキシロイモリオグニ　ブナチャヤ,9991363,小国町大字小国小坂町616-1　,道の駅白い森おぐに内,2021/11/2,小国町,38.07263334,139.7305802
〇,,道の駅白い森おぐに　レストランあいあい,ミチノエキシロイモリオグニ　レストランアイアイ,9991363,小国町大字小国小坂町616-1,道の駅白い森おぐに内,2021/11/2,小国町,38.07228071,139.7310656
〇,,道の駅たかはた　レストラン縄文,ミチノエキタカハタ　レストランジョウモン,9920302,高畠町大字安久津2072-1,,2021/8/3,高畠町,38.00691419,140.2174811
〇,,道の駅鳥海ふらっと　食堂・ファーストフードコーナー・ラーメン「味の駅」・ベーカリー「ほっほ」,ミチノエキチョウカイフラット　ショクドウ・・ファーストフードコーナー・ラーメン「アジノエキ」・ベーカリー「ホッホ」,9998531,遊佐町菅里字菅野308-1,,2021/7/27,遊佐町,39.060165,139.875202
〇,,道の駅にしかわ　月山銘水館レストラン,ミチノエキニシカワガッサンメイスイカンレストラン,9900742,西川町大字水沢2304,,2021/9/24,西川町,38.43616647,140.0992893
〇,,道の駅むらやま（フードコーナー）,ミチノエキムラヤマ（フードコーナー）,9950025,村山市大字楯岡7635-1,,2021/10/25,村山市,38.4872172,140.3823957
〇,,道の駅米沢　牛毘亭,ミチノエキヨネザワ　ギュウビテイ,9920117,米沢市大字川井1039-1,道の駅米沢内,2021/6/14,米沢市,37.92246569,140.1371953
〇,,道の駅米沢　謙信亭,ミチノエキヨネザワ　ケンシンテイ,9920117,米沢市大字川井1039-1,道の駅米沢内,2021/6/14,米沢市,37.92239375,140.1367554
〇,,道の駅米沢　十割庵,ミチノエキヨネザワ　トワリアン,9920117,米沢市大字川井1039-1,道の駅米沢内,2021/6/14,米沢市,37.92250801,140.136793
〇,,道の駅米沢　毘沙門,ミチノエキヨネザワ　ビシャモン,9920117,米沢市大字川井1039-1,道の駅米沢内,2021/6/14,米沢市,37.92239375,140.1369647
〇,,道の駅米沢　FOOD PIT,ミチノエキヨネザワ　フードピット,9920117,米沢市大字川井1039-1,道の駅米沢内,2021/6/14,米沢市,37.92246146,140.137426
〇,,みちのく食堂,ミチノクショクドウ,9996105,最上町大字冨澤929,,2021/6/9,最上町,38.71181103,140.552091
