業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,味処　旬風,アジドコロ　シュンプウ,9902431,山形市松見町8-4,,2021/11/16,山形市,38.2303167,140.3380296
〇,,味処　のろ川,アジドコロ　ノロガワ,9900076,山形市平久保40-1,,2021/8/20,山形市,38.2881434,140.356165
〇,,味処　藤よし,アジドコロ　フジヨシ,9991363,小国町大字小国小坂町277,,2021/7/9,小国町,38.0606899,139.7455045
〇,,味どころ　ふる山,アジドコロ　フルヤマ,9920012,米沢市金池5-6-17,,2021/6/10,米沢市,37.92391666,140.1154329
〇,,味処　湯楽亭（べに花温泉ひなの湯内）,アジドコロ　ユラクテイ,9993511,河北町谷地字下野269,,2021/8/31,河北町,38.41763224,140.3213863
〇,,味処さくらんぼ,アジドコロサクランボ,9993511,河北町谷地甲155,,2021/11/1,河北町,38.4250083,140.3131904
〇,,味処 神通峡（奥おおえ　柳川温泉内）,アジドコロジンツウキョウ　オクオオエ　ヤナガワオンセンナイ,9901121,大江町柳川1502-3,,2021/10/7,大江町,38.3682121,140.0570191
〇,,味処すゞき,アジドコロスズキ,9921123,米沢市万世町桑山4327,,2021/12/2,米沢市,37.90348,140.1527713
〇,,味処たこ八,アジドコロタコハチ,9930007,長井市本町2-4-39-2,,2021/10/19,長井市,38.10450445,140.038286
〇,,味処松乃屋,アジドコロマツノヤ,9993125,上山市金生東2-13-2,,2021/8/24,上山市,38.14112403,140.2843128
〇,,味処わきち,アジドコロワキチ,9910003,寒河江市大字西根石川西379-1,,2021/7/16,寒河江市,38.39048377,140.2783531
〇,,味な店　成華,アジナミセ　セイカ,9970404,鶴岡市下名川字落合27,,2021/9/24,鶴岡市,38.61278713,139.834326
〇,,味の里　ばんだい,アジノサト　バンダイ,9900032,山形市小姓町3-8,,2021/6/30,山形市,38.24709462,140.3398448
〇,,味の園,アジノソノ,9900047,山形市旅篭町1-8-11,,2021/5/12,山形市,38.2551962,140.3353938
〇,,味の砦　利兵,アジノトリデ　リヘイ,9994113,大石田町今宿字板橋903-1,,2021/11/4,大石田町,38.5853979,140.3997937
〇,,味の店　スズラン,アジノミセ　スズラン,9900039,山形市香澄町2-10-5,,2021/7/21,山形市,38.2490887,140.3311229
〇,,味の店　竹屋,アジノミセ　タケヤ,9900827,山形市城南町2-6-7,,2021/9/13,山形市,38.25116853,140.3242485
〇,,味の店　柚子庵,アジノミセ　ユズアン,9971301,三川町横山字袖東1-11,,2021/10/18,三川町,38.79474959,139.8479152
〇,,味の店　わらべ,アジノミセ　ワラベ,9993765,東根市神町南1-12-1,,2021/7/26,東根市,38.40274383,140.381056
〇,,味の館　瑞穂,アジノヤカタ　ミズホ,9994221,尾花沢市大字尾花沢1568-4,,2021/11/9,尾花沢市,38.5978293,140.3876221
〇,,味屋　どん,アジヤ　ドン,9993717,東根市一本木1-5-24,,2021/10/18,東根市,38.4241504,140.3829492
〇,,足湯カフェ　チットモッシェ,アシユカフェ　チットモッシェ,9997204,鶴岡市湯温海甲170,,2021/8/6,鶴岡市,38.61560173,139.6092844
〇,,味楽　櫂,アジラク　カイ,9970824,鶴岡市日枝鳥居上40-1,,2021/7/6,鶴岡市,38.7104386,139.8169277
〇,,味わい,アジワイ,9902339,山形市成沢西5-5-5,,2021/7/14,山形市,38.20846535,140.3213414
〇,,あすなろキッチン工房　木らら,アスナロキッチンコウボウ　キララ,9980858,酒田市緑町10-20,,2021/9/8,酒田市,38.91186791,139.852369
〇,,AZ3（アズミ）,アズミ,9960025,新庄市若葉町14-45,サンボックス2F,2021/5/18,新庄市,38.76146247,140.3016987
〇,,Accha!,アチャ,9960023,新庄市沖の町1-2,,2021/8/2,新庄市,38.76274943,140.3047486
〇,,あったまりランド深堀　お食事処さくら,アッタマリランドフカボリ　オショクジドコロサクラ,9994134,大石田町大字豊田884-1,,2021/8/31,大石田町,38.59951309,140.356756
,〇,あったまりランド深堀　宿泊施設　虹の館,アッタマリランドフカボリ　シュクハクシセツ　ニジノヤカタ,9994134,大石田町大字豊田884-1,,2021/8/31,大石田町,38.5991169,140.3572764
〇,,アップルマルシェ,アップルマルシェ,9901411,朝日町大字和合2724,,2021/9/14,朝日町,38.32768177,140.1691987
,〇,あつみ温泉高見屋別邸久遠,アツミオンセンタカミヤベッテイクオン,9997204,鶴岡市湯温海字湯之尻83-3,,2021/10/7,鶴岡市,38.61735458,139.6010933
,〇,あつみホテル　温海荘,アツミホテルアツミソウ,9997204,鶴岡市湯温海甲188,,2021/5/8,鶴岡市,38.61614517,139.6089503
,〇,アパホテル〈山形駅前大通〉,アパホテルヤマガタエキマエオオドオリ,9900031,山形市十日町4-1-8,,2021/8/24,山形市,38.2461153,140.3336646
,〇,アパホテル〈山形鶴岡駅前〉,アパホテルヤマガタツルオカエキマエ,9970015,鶴岡市末広町5-20,,2021/9/24,鶴岡市,38.73923087,139.8353608
〇,,アビー,アビー,9900042,山形市七日町2-1-24,,2021/10/13,山形市,38.25222922,140.3403563
〇,,あぶりや ,アブリヤ,9920045,米沢市中央1-14-23,,2021/10/6,米沢市,37.91305906,140.1092981
〇,,あぶり家　ろわ蔵,アブリヤ　ロワゾウ,9980037,酒田市日吉町2-1-34,,2021/11/2,酒田市,38.9190782,139.8329903
〇,,阿部支店,アベシテン,9996105,最上町大字富沢1156-2,,2021/6/18,最上町,38.72968233,140.553839
〇,,あみもと,アミモト,9910021,寒河江市中央1-14-2,,2021/11/8,寒河江市,38.38128794,140.27767
〇,,Amusement bar ZERO,アミューズメント　バー　ゼロ,9980044,酒田市中町3-2-8,阿部興産ビルＢ1,2021/9/21,酒田市,38.9182846,139.8341309
〇,,アメリカンダイニング　チェルシー&コウ,アメリカンダイニングチェルシーアンドコウ,9900047,山形市旅籠町2-2-26,庄司ビルB1F,2021/7/27,山形市,38.2542047,140.3391978
〇,,あやめ寿し,アヤメズシ,9900021,山形市小白川町5-1-6,,2021/8/10,山形市,38.24524658,140.3616004
〇,,あやめそば舟越,アヤメソバフナコシ,9930082,長井市舟場5-18-2,,2021/10/6,長井市,38.11206781,140.0432655
〇,,あらきそば,アラキソバ,9950111,村山市大久保甲65,,2021/7/19,村山市,38.4700419,140.32391
〇,,新政酒蔵,アラマササカグラ,9900861,山形市香澄町1-14-1,,2021/8/5,山形市,38.2491014,140.3295485
〇,,アリスの海,アリスノウミ,9940034,天童市本町1-1-2,パルテ2F,2021/11/17,天童市,38.35967835,140.3703538
〇,,亜梨蘭,アリラン,9960025,新庄市若葉町16-15,,2021/5/24,新庄市,38.7620793,140.3023148
〇,〇,アルブ天元台,アルブテンゲンダイ,9921461,米沢市大字李山12118-6,,2021/6/18,米沢市,37.77489031,140.1349013
〇,,あるますーぷ,アルマスープ,9900042,山形市七日町4-16-14,,2021/12/7,山形市,38.25512476,140.3432378
〇,,アンカリング,アンカリング,9900075,山形市落合町2377-9,,2021/6/21,山形市,38.27602509,140.3511843
〇,,アンドマークカフェ,アンドマークカフェ,9900861,山形市江俣2-1-29,,2021/5/27,山形市,38.27773497,140.3242643
〇,,アントンズカフェ,アントンズカフェ,9900810,山形市馬見ヶ崎3-1-1,,2021/7/28,山形市,38.27896563,140.3278453
〇,,Infini Cafe,アンフィニ　カフェ,9900829,山形市五日町7-13,T-AVENUE101,2021/6/2,山形市,38.2449786,140.3216274
〇,,夜来香,イエライシャン,9992211,南陽市赤湯968,本田ビル1F,2021/10/19,南陽市,38.05013947,140.166718
〇,,いおり,イオリ,9960212,大蔵村大字清水5256,,2021/11/8,大蔵村,38.70471744,140.232988
〇,,いがもちの里　さんべ,イガモチノサト　サンベ,9902301,山形市蔵王温泉1221-2,,2021/7/5,山形市,38.16474287,140.3713534
〇,,五十嵐商店,イガラシショウテン,9995312,真室川町新町129-16,,2021/10/21,真室川町,38.8575247,140.253132
〇,,活味　魚友,イキアジ　ウオトモ,9900042,山形市七日町4-8-7,,2021/8/2,山形市,38.2535671,140.3425235
〇,,いきいき深山郷のどか村,イキイキミヤマゴウノドカムラ,9920776,白鷹町大字深山2537,,2021/11/24,白鷹町,38.214242,140.0752788
〇,,いきいきランド　ぽんぽ館,イキイキランド　ポンポカン,9996314,戸沢村大字松坂155,,2021/7/16,戸沢村,38.7831477,140.1839687
